name;id;text_gen;toString;total
 Un des sp;0;16.084036;17.74332;33.827354
 Un des sp;1;15.350736;15.681321;31.032057
 Un des sp;2;13.48358;12.274916;25.758495
 Un des sp;3;15.149874;19.757074;34.906948
 Un des sp;4;14.380635;13.507163;27.887798
 Un des sp;5;13.939362;12.920528;26.85989
 Un des sp;6;13.985178;13.343637;27.328815
 Un des sp;7;13.923876;17.670761;31.594637
 Un des sp;8;14.503539;12.862133;27.365673
 Un des sp;9;13.703141;12.742788;26.44593
 Un des sp;10;13.926641;13.05376;26.9804
 Un des sp;11;13.97167;17.865116;31.836786
 Un des sp;12;13.946216;12.908911;26.855125
 Un des sp;13;13.991213;12.747622;26.738834
 Un des sp;14;13.672736;12.556184;26.22892
 Un des sp;15;14.053774;16.858204;30.911978
 Un des sp;16;13.714855;12.379563;26.094418
 Un des sp;17;14.749388;13.609488;28.358875
 Un des sp;18;14.421904;12.596525;27.018429
 Un des sp;19;13.498927;17.190615;30.68954
 Un des sp;20;13.359218;12.869979;26.229197
 Un des sp;21;13.675442;12.538552;26.213993
 Un des sp;22;14.1353;12.582319;26.717619
 Un des sp;23;14.349893;16.601479;30.95137
 Un des sp;24;14.196728;12.632563;26.82929
 Un des sp;25;15.586147;18.07276;33.658905
 Un des sp;26;15.286817;14.710253;29.99707
 Un des sp;27;14.070199;12.954931;27.025131
 Un des sp;28;13.534967;12.419362;25.95433
 Un des sp;29;14.257083;12.719719;26.976803
 Un des sp;30;13.6745;12.368396;26.042896
 Un des sp;31;13.392303;13.084647;26.476952
 Un des sp;32;13.741521;13.401903;27.143425
 Un des sp;33;13.420742;12.552425;25.973167
 Un des sp;34;17.233631;13.298927;30.532558
 Un des sp;35;13.956467;12.77288;26.729347
 Un des sp;36;13.587244;12.388532;25.975777
 Un des sp;37;13.702033;12.817219;26.519253
 Un des sp;38;13.663638;12.620384;26.284023
 Un des sp;39;13.929185;16.84346;30.772644
 Un des sp;40;14.191718;12.387129;26.578846
 Un des sp;41;13.710678;13.006572;26.71725
 Un des sp;42;13.825545;13.643914;27.46946
 Un des sp;43;13.774494;12.406323;26.180817
 Un des sp;44;13.400475;17.43293;30.833405
 Un des sp;45;13.75432;12.545191;26.299511
 Un des sp;46;13.453905;12.637588;26.091492
 Un des sp;47;13.611111;12.411322;26.022432
 Un des sp;48;13.53913;12.372882;25.912012
 Un des sp;49;13.536361;16.512083;30.048443
 Un des sp;50;13.588603;14.295079;27.883682
 Un des sp;51;15.304961;17.232168;32.53713
 Un des sp;52;15.295968;15.383286;30.679255
 Un des sp;53;13.366742;12.272854;25.639595
 Un des sp;54;13.629746;12.295585;25.925331
 Un des sp;55;14.370138;12.487185;26.857323
 Un des sp;56;13.345749;12.277984;25.623734
