name;id;text_gen;toString;total
 LESMISÉRA;0;318.60733;282.10623;600.71356
 LESMISÉRA;1;306.23297;354.99762;661.2306
 LESMISÉRA;2;311.97177;288.67038;600.64215
 LESMISÉRA;3;386.83557;297.65268;684.4883
 LESMISÉRA;4;310.0119;343.22437;653.23627
 LESMISÉRA;5;342.23428;311.19415;653.42847
 LESMISÉRA;6;367.10965;366.72144;733.83105
 LESMISÉRA;7;468.58212;379.31564;847.89777
 LESMISÉRA;8;345.54517;401.44824;746.9934
 LESMISÉRA;9;303.12427;367.2024;670.32666
 LESMISÉRA;10;298.43515;308.106;606.54114
 LESMISÉRA;11;305.5507;283.0308;588.5815
 LESMISÉRA;12;313.62695;406.97424;720.6012
 LESMISÉRA;13;327.00717;371.57587;698.583
 LESMISÉRA;14;464.12415;365.3236;829.44775
 LESMISÉRA;15;308.30157;403.984;712.2856
 LESMISÉRA;16;431.2819;466.94498;898.22687
 LESMISÉRA;17;471.20673;411.09702;882.3037
 LESMISÉRA;18;389.66748;342.88602;732.55347
 LESMISÉRA;19;303.10907;375.0868;678.19586
 LESMISÉRA;20;299.12006;396.29532;695.4154
 LESMISÉRA;21;370.81326;329.38525;700.1985
 LESMISÉRA;22;466.3381;561.5793;1027.9174
 LESMISÉRA;23;308.03143;273.474;581.50543
 LESMISÉRA;24;451.80957;351.6288;803.43835
 LESMISÉRA;25;321.27258;277.99692;599.26953
 LESMISÉRA;26;319.5395;382.4448;701.98425
 LESMISÉRA;27;365.35522;282.45306;647.8083
 LESMISÉRA;28;294.47363;272.75946;567.2331
 LESMISÉRA;29;300.05637;281.15668;581.213
 LESMISÉRA;30;298.7138;331.1922;629.906
 LESMISÉRA;31;296.2783;400.01016;696.28845
 LESMISÉRA;32;341.79883;276.66855;618.4674
 LESMISÉRA;33;297.23914;284.74243;581.98157
 LESMISÉRA;34;293.33368;270.73587;564.0696
 LESMISÉRA;35;306.34238;274.59546;580.93787
 LESMISÉRA;36;300.3648;284.06992;584.4347
 LESMISÉRA;37;293.54922;277.18903;570.7383
 LESMISÉRA;38;310.71783;275.10822;585.82605
 LESMISÉRA;39;303.76135;300.53732;604.2987
 LESMISÉRA;40;327.61923;272.26688;599.8861
 LESMISÉRA;41;297.20425;283.15063;580.35486
