name;id;text_gen;toString;total
hugo;0;408.8955;437.18326;846.07874
hugo;1;348.6911;311.00064;659.6918
hugo;2;320.94965;257.06104;578.0107
hugo;3;280.1119;305.09674;585.2086
hugo;4;295.38254;345.61734;640.9999
hugo;5;345.31937;253.624;598.94336
hugo;6;270.43158;252.60818;523.0398
hugo;7;271.63705;304.5881;576.22516
hugo;8;286.60107;251.51044;538.1115
hugo;9;280.33774;336.5056;616.8434
hugo;10;274.35318;255.91643;530.2696
hugo;11;275.24655;254.25995;529.5065
hugo;12;288.41653;255.06786;543.4844
hugo;13;273.58014;312.32748;585.9076
hugo;14;276.31308;309.86575;586.17883
hugo;15;304.70648;356.1824;660.8889
hugo;16;308.75296;345.35986;654.1128
hugo;17;306.5977;344.6164;651.2141
hugo;18;271.85593;270.17435;542.0303
hugo;19;275.54605;267.67807;543.2241
hugo;20;271.11804;306.46246;577.5805
hugo;21;329.7638;258.92883;588.6926
hugo;22;273.97717;312.3991;586.3763
hugo;23;275.01263;318.59738;593.61
hugo;24;273.59113;252.64624;526.23737
hugo;25;275.2739;357.89053;633.1644
hugo;26;280.77316;309.24948;590.02264
hugo;27;275.06305;250.15372;525.2168
hugo;28;277.15344;260.85025;538.00366
hugo;29;280.48962;249.31032;529.7999
hugo;30;272.9087;256.17987;529.08856
hugo;31;287.2544;266.13525;553.38965
hugo;32;563.37036;418.6843;982.0547
hugo;33;345.753;294.39075;640.14374
hugo;34;329.31107;278.76926;608.0803
hugo;35;280.23822;249.55402;529.79224
hugo;36;358.07678;376.2498;734.32654
hugo;37;326.2863;288.42377;614.7101
hugo;38;444.20883;371.23367;815.4425
hugo;39;344.606;397.0402;741.6462
hugo;40;583.62616;496.22787;1079.854
hugo;41;556.2274;466.85452;1023.0819
hugo;42;550.4077;510.8091;1061.2168
hugo;43;409.24582;398.45676;807.7026
hugo;44;340.71344;297.9076;638.62103
hugo;45;454.6849;359.6892;814.37415
hugo;46;293.1657;287.7593;580.92505
hugo;47;392.9829;326.24918;719.23206
hugo;48;367.8712;434.29657;802.1677
hugo;49;349.36887;278.4071;627.776
hugo;50;385.00705;272.6474;657.6544
hugo;51;402.70316;332.16986;734.87305
hugo;52;335.25552;328.29926;663.5548
hugo;53;348.9886;311.18896;660.17755
hugo;54;344.75482;381.7221;726.4769
hugo;55;372.78207;337.7895;710.57153
hugo;56;400.9773;433.00708;833.9844
hugo;57;287.2705;283.75662;571.0271
hugo;58;331.92496;277.7402;609.66516
hugo;59;287.32605;293.11423;580.4403
hugo;60;286.22125;261.9282;548.1494
hugo;61;398.2632;350.4043;748.6675
hugo;62;346.13397;389.24432;735.3783
hugo;63;430.9445;412.18936;843.13385
hugo;64;288.82028;277.13437;565.95465
hugo;65;337.76614;319.68106;657.4472
hugo;66;276.8482;331.05725;607.90546
hugo;67;280.47693;256.37152;536.84845
hugo;68;286.68323;255.96597;542.6492
hugo;69;276.47452;272.88577;549.3603
hugo;70;276.75687;256.86148;533.61835
hugo;71;279.01855;256.56906;535.58765
hugo;72;273.88763;254.76419;528.65186
hugo;73;273.7158;258.2824;531.99817
hugo;74;272.02286;255.03659;527.05945
hugo;75;276.48004;256.52417;533.0042
hugo;76;277.39417;254.17352;531.5677
hugo;77;279.86517;263.48416;543.34937
hugo;78;273.85022;254.33473;528.18494
hugo;79;274.07367;253.06053;527.1342
hugo;80;274.33057;256.08255;530.4131
hugo;81;310.83353;289.71518;600.5487
hugo;82;276.4757;260.55936;537.03503
hugo;83;273.01697;255.899;528.91595
hugo;84;273.13235;253.55771;526.69006
hugo;85;290.78943;256.71408;547.50354
hugo;86;281.5421;259.31866;540.8608
hugo;87;276.14566;257.00305;533.1487
hugo;88;279.31662;258.36945;537.68604
hugo;89;309.4389;256.16742;565.6063
hugo;90;273.04816;261.98718;535.03534
hugo;91;275.03397;255.71999;530.75397
hugo;92;278.81528;253.70288;532.5182
hugo;93;312.8548;255.82751;568.6823
hugo;94;274.7754;255.3925;530.1679
hugo;95;271.93475;252.15665;524.09143
hugo;96;273.84833;253.66623;527.5145
hugo;97;287.71353;253.52708;541.2406
hugo;98;276.79126;256.86053;533.6518
hugo;99;272.09512;256.11993;528.2151
hugo;100;272.41144;256.42267;528.8341
hugo;101;274.7282;256.5829;531.3111
hugo;102;272.6394;255.07884;527.71826
hugo;103;275.76935;255.30516;531.0745
hugo;104;282.31467;282.82825;565.14294
hugo;105;276.07132;259.6105;535.6818
hugo;106;278.79352;269.0801;547.87366
hugo;107;273.71732;261.06885;534.78613
hugo;108;271.9323;253.57693;525.5093
hugo;109;282.6674;257.23462;539.902
hugo;110;278.18323;258.9125;537.0957
hugo;111;271.37674;254.29526;525.672
hugo;112;279.769;254.23785;534.00684
hugo;113;287.40323;258.73495;546.1382
hugo;114;273.4493;255.60245;529.05176
hugo;115;275.22205;252.858;528.0801
hugo;116;284.42502;255.85571;540.28076
hugo;117;299.01453;257.68967;556.7042
hugo;118;293.73975;255.57709;549.31683
hugo;119;271.09116;260.46506;531.5562
hugo;120;273.88223;254.14056;528.0228
hugo;121;277.09384;254.95633;532.0502
hugo;122;276.4223;259.6235;536.0458
hugo;123;275.27737;255.64134;530.9187
hugo;124;281.38953;258.30435;539.69385
hugo;125;300.25882;258.87708;559.13586
hugo;126;279.65106;260.4935;540.14453
hugo;127;277.8586;255.48122;533.33984
hugo;128;277.87167;259.73047;537.6022
hugo;129;276.56042;258.52786;535.08826
hugo;130;284.1303;255.29117;539.4215
hugo;131;277.65482;251.80595;529.46075
hugo;132;277.4664;260.15714;537.62354
hugo;133;274.181;254.3407;528.5217
hugo;134;275.9891;255.66483;531.65393
hugo;135;281.02353;256.15265;537.17615
hugo;136;280.4903;254.90884;535.3992
hugo;137;274.91968;294.88596;569.80566
hugo;138;272.5859;278.85168;551.4376
hugo;139;281.81757;254.11754;535.9351
hugo;140;275.5786;257.0388;532.61743
hugo;141;276.7244;254.75568;531.4801
hugo;142;275.73615;255.00578;530.74194
hugo;143;271.5595;254.16026;525.7198
hugo;144;276.95334;251.76581;528.7191
hugo;145;276.34225;258.17184;534.5141
hugo;146;273.9609;253.9907;527.9516
hugo;147;270.84744;251.69522;522.54266
hugo;148;284.24158;255.20828;539.4498
hugo;149;274.2643;259.14932;533.41364
hugo;150;272.48578;256.01627;528.5021
hugo;151;275.6269;256.0889;531.7158
hugo;152;315.7206;258.2675;573.9881
hugo;153;276.87424;254.55571;531.42993
hugo;154;273.2147;258.7785;531.99316
hugo;155;276.81226;253.39258;530.20483
hugo;156;274.34836;253.25568;527.604
hugo;157;280.4107;265.33517;545.74585
hugo;158;275.27737;278.42868;553.70605
hugo;159;284.63245;294.37155;579.004
hugo;160;339.68195;295.02344;634.7054
hugo;161;308.98578;363.27615;672.26196
hugo;162;316.3909;280.73993;597.13086
hugo;163;303.65442;284.09875;587.7532
hugo;164;314.2686;282.65094;596.91956
hugo;165;305.16266;287.65805;592.8207
hugo;166;534.10565;518.0619;1052.1675
hugo;167;339.4723;311.6564;651.12866
hugo;168;310.7799;290.6943;601.47424
hugo;169;345.9625;395.80472;741.7672
hugo;170;595.74304;377.7373;973.48035
hugo;171;547.09143;290.61475;837.7062
hugo;172;411.92252;319.81537;731.7379
hugo;173;299.26044;283.7458;583.0062
hugo;174;426.74283;291.03598;717.7788
hugo;175;302.78802;289.09238;591.8804
hugo;176;367.0189;360.88596;727.90485
hugo;177;367.6999;281.6299;649.32983
hugo;178;316.80814;300.39276;617.2009
hugo;179;411.68375;378.85095;790.53467
hugo;180;318.67038;318.70602;637.3764
hugo;181;597.9329;546.0079;1143.9408
hugo;182;470.98135;544.39087;1015.3722
hugo;183;854.9629;482.4936;1337.4565
hugo;184;354.1184;280.34412;634.4625
hugo;185;306.64618;280.07672;586.7229
hugo;186;306.0738;330.60577;636.67957
hugo;187;298.42712;279.50143;577.9286
hugo;188;305.39584;292.67554;598.0714
hugo;189;300.485;318.7483;619.2333
hugo;190;303.85352;282.30624;586.1598
hugo;191;306.61386;286.33975;592.9536
hugo;192;313.2432;282.9748;596.218
hugo;193;304.00546;283.37015;587.3756
hugo;194;306.23444;280.69077;586.9252
hugo;195;346.03857;283.15442;629.193
hugo;196;437.91107;536.4714;974.38245
hugo;197;315.59372;293.82892;609.4226
hugo;198;356.9733;315.49927;672.47253
hugo;199;396.75705;337.32156;734.0786
hugo;200;458.01526;367.2473;825.2626
hugo;201;311.92468;317.34595;629.2706
hugo;202;310.17108;294.21973;604.3908
hugo;203;351.593;295.41498;647.00793
hugo;204;351.32455;323.63156;674.9561
hugo;205;321.998;290.95303;612.95105
hugo;206;307.14322;286.16885;593.3121
hugo;207;321.5407;314.3266;635.8673
hugo;208;310.35718;292.04498;602.40216
hugo;209;306.58777;296.7366;603.32434
hugo;210;312.06354;304.39438;616.4579
hugo;211;310.64;292.6041;603.24414
hugo;212;359.23297;409.1494;768.3824
hugo;213;377.2188;390.20776;767.4266
hugo;214;431.2384;319.28494;750.5233
hugo;215;485.9676;346.46158;832.4292
hugo;216;323.3234;294.6206;617.944
hugo;217;347.82986;368.35858;716.1885
hugo;218;315.97452;305.52832;621.5028
hugo;219;310.68088;296.8378;607.5187
hugo;220;307.20276;292.3912;599.594
hugo;221;317.38467;327.22617;644.61084
hugo;222;347.0806;309.88208;656.96265
hugo;223;313.9455;291.51028;605.4558
hugo;224;329.2743;295.7879;625.0622
hugo;225;312.11487;297.26675;609.3816
hugo;226;318.12292;297.08362;615.20654
hugo;227;310.92297;299.6818;610.60474
hugo;228;312.26837;304.51105;616.7794
hugo;229;326.24005;318.68256;644.9226
hugo;230;319.59344;299.04144;618.6349
hugo;231;314.24496;297.10394;611.3489
hugo;232;307.62997;286.60815;594.23816
hugo;233;325.69553;291.77338;617.4689
hugo;234;317.80487;302.16803;619.9729
hugo;235;334.5222;393.61615;728.1383
hugo;236;458.4712;439.5315;898.0027
hugo;237;318.8784;383.06415;701.9425
hugo;238;377.45728;376.3151;753.77234
hugo;239;344.44846;367.6214;712.0698
hugo;240;375.19168;420.7709;795.9626
hugo;241;319.84598;302.10284;621.94885
hugo;242;328.52502;315.01407;643.53906
hugo;243;312.7433;297.5595;610.3028
hugo;244;313.81665;290.38205;604.1987
hugo;245;313.07004;289.19968;602.2697
hugo;246;319.47766;297.041;616.5187
hugo;247;329.48273;290.81876;620.3015
hugo;248;311.81424;287.53503;599.34924
hugo;249;306.3398;297.9976;604.3374
hugo;250;306.68924;294.85297;601.54224
hugo;251;313.43784;354.08057;667.51843
hugo;252;320.7908;354.74582;675.5366
hugo;253;360.56366;517.8585;878.4222
hugo;254;307.98798;286.44263;594.4306
hugo;255;330.85153;301.27643;632.1279
hugo;256;316.2521;291.56308;607.8152
hugo;257;310.3119;294.63876;604.9507
hugo;258;321.05853;292.9889;614.0474
hugo;259;314.05502;297.70493;611.75995
hugo;260;309.5847;302.33994;611.9246
hugo;261;310.13242;296.88483;607.0172
hugo;262;310.83707;292.24222;603.0793
hugo;263;308.4801;293.2965;601.7766
hugo;264;314.44113;287.4553;601.8964
hugo;265;312.028;292.2119;604.2399
hugo;266;312.13388;286.73886;598.87274
hugo;267;312.66098;300.0171;612.6781
hugo;268;312.19772;301.76154;613.9592
hugo;269;311.45877;297.57556;609.0343
hugo;270;312.9575;292.1393;605.0968
hugo;271;314.8127;289.28027;604.093
hugo;272;304.607;303.98267;608.58966
hugo;273;314.71054;288.78653;603.4971
hugo;274;318.49927;289.65958;608.1588
hugo;275;314.8158;290.6983;605.5141
hugo;276;312.29788;289.6093;601.9072
hugo;277;311.14667;287.86234;599.00903
hugo;278;306.84702;309.24304;616.0901
hugo;279;306.30176;290.80902;597.1108
hugo;280;311.27484;294.96347;606.2383
hugo;281;351.33475;289.56235;640.8971
hugo;282;310.6283;291.8339;602.46216
hugo;283;318.83444;289.757;608.59143
hugo;284;307.98862;294.891;602.87964
hugo;285;310.00006;302.01004;612.01013
hugo;286;307.61798;293.77765;601.3956
hugo;287;305.76834;293.1377;598.906
hugo;288;320.6275;317.03604;637.6636
hugo;289;319.65582;309.29208;628.9479
hugo;290;376.70068;456.9266;833.6273
hugo;291;397.71216;384.21875;781.9309
hugo;292;364.19647;306.30658;670.50305
hugo;293;335.85367;318.49774;654.35144
hugo;294;514.9699;462.60184;977.5718
hugo;295;444.0006;445.6438;889.6444
hugo;296;357.36652;420.25787;777.6244
hugo;297;333.7224;331.43552;665.15796
hugo;298;313.58997;300.59476;614.1847
hugo;299;318.05792;303.44727;621.5052
hugo;300;320.0392;303.6659;623.7051
hugo;301;331.36563;300.13742;631.50305
hugo;302;321.56735;309.06802;630.6354
hugo;303;323.44244;293.68567;617.1281
hugo;304;315.2229;299.26218;614.4851
hugo;305;317.9083;297.9904;615.8987
hugo;306;316.64673;302.47043;619.1172
hugo;307;318.79947;296.48886;615.2883
hugo;308;318.9815;306.7126;625.6941
hugo;309;321.67554;304.24026;625.9158
hugo;310;321.17966;307.71243;628.8921
hugo;311;330.84454;294.21185;625.0564
hugo;312;325.5736;291.00394;616.5775
hugo;313;315.33286;299.2091;614.542
hugo;314;371.70013;296.67636;668.37646
hugo;315;318.13446;328.03226;646.16675
hugo;316;312.87195;350.52216;663.3941
hugo;317;331.12128;304.8054;635.92664
hugo;318;323.10098;298.33493;621.4359
hugo;319;353.2439;296.0696;649.3135
hugo;320;313.65445;311.74167;625.3961
hugo;321;333.6736;308.09335;641.76697
hugo;322;345.85355;334.1199;679.97345
hugo;323;348.90524;325.9952;674.90045
hugo;324;433.44177;382.14648;815.58826
hugo;325;473.4019;321.5543;794.9562
hugo;326;347.76782;327.07538;674.8432
hugo;327;340.1275;319.36847;659.496
hugo;328;472.46564;494.51654;966.9822
hugo;329;339.34912;336.67468;676.0238
hugo;330;349.6238;325.21832;674.84216
hugo;331;342.90796;339.08887;681.9968
hugo;332;383.41025;339.34177;722.752
hugo;333;336.17233;361.74286;697.91516
hugo;334;337.22034;348.35303;685.57336
hugo;335;346.12277;316.2382;662.36096
hugo;336;343.75513;331.4999;675.255
hugo;337;346.57538;330.29364;676.869
hugo;338;337.60532;330.64005;668.24536
hugo;339;337.26562;330.82788;668.0935
hugo;340;358.01993;325.2184;683.23834
hugo;341;366.2506;353.33768;719.58826
hugo;342;351.87997;524.5124;876.39233
hugo;343;305.9374;284.3612;590.2986
hugo;344;311.28006;386.87216;698.1522
hugo;345;349.45935;505.06772;854.5271
hugo;346;349.8827;523.07666;872.95935
hugo;347;346.4832;310.32272;656.8059
hugo;348;319.6052;289.93417;609.53937
hugo;349;321.68057;289.4553;611.13586
hugo;350;305.48752;314.3921;619.87964
hugo;351;314.7075;291.35956;606.067
hugo;352;308.1786;310.98566;619.16425
hugo;353;307.1596;296.8512;604.0108
hugo;354;309.86786;286.92334;596.7912
hugo;355;309.33548;288.32462;597.6601
hugo;356;308.63513;293.4177;602.05286
hugo;357;308.0041;291.51617;599.52026
hugo;358;314.09354;288.23895;602.3325
hugo;359;309.9237;294.08655;604.01025
hugo;360;306.95117;299.96704;606.9182
hugo;361;313.9279;298.35712;612.28503
hugo;362;308.1204;322.83698;630.9574
hugo;363;314.90726;288.75882;603.6661
hugo;364;319.769;289.31073;609.0797
hugo;365;309.66528;291.97733;601.6426
hugo;366;368.60052;287.24316;655.8437
hugo;367;305.00906;288.0539;593.063
hugo;368;346.61505;324.85095;671.466
hugo;369;418.52704;398.64417;817.1712
hugo;370;787.9109;748.6276;1536.5386
hugo;371;317.21487;312.58734;629.80225
hugo;372;380.79303;340.53293;721.3259
hugo;373;399.07507;299.604;698.6791
hugo;374;304.1258;286.63376;590.7595
hugo;375;323.8337;289.2001;613.0338
hugo;376;352.46173;288.54675;641.0085
hugo;377;352.97208;290.2403;643.2124
hugo;378;379.02704;292.10962;671.13666
hugo;379;308.62045;302.2453;610.8657
hugo;380;307.00357;312.35574;619.3593
hugo;381;310.085;291.68805;601.7731
hugo;382;305.11148;321.77115;626.8826
hugo;383;309.33972;292.59293;601.9326
hugo;384;316.61118;306.6807;623.2919
hugo;385;307.70007;292.6529;600.35297
hugo;386;311.89087;290.6579;602.54877
hugo;387;310.1647;287.8455;598.0102
hugo;388;317.13333;292.31503;609.44836
hugo;389;310.69705;291.17853;601.8756
hugo;390;304.13525;284.12408;588.25934
hugo;391;304.2149;291.5757;595.79065
hugo;392;317.6721;286.53;604.2021
hugo;393;418.67078;494.38867;913.05945
hugo;394;364.09122;286.81564;650.90686
hugo;395;307.36487;287.66217;595.02704
hugo;396;315.2014;291.20197;606.4033
hugo;397;306.65295;313.90555;620.5585
hugo;398;305.0631;293.7036;598.7667
hugo;399;317.74155;288.28323;606.0248
hugo;400;308.93835;313.35376;622.2921
hugo;401;314.2852;287.3507;601.63586
hugo;402;307.10522;322.58044;629.68567
hugo;403;307.10995;296.49252;603.6025
hugo;404;322.41028;287.24728;609.6576
hugo;405;307.44092;297.11288;604.55383
hugo;406;304.8597;295.10486;599.9646
hugo;407;306.23553;285.52838;591.7639
hugo;408;306.69464;288.34372;595.0383
hugo;409;307.60443;288.18744;595.7919
hugo;410;308.68622;288.43817;597.1244
hugo;411;304.30225;286.2296;590.53186
hugo;412;323.43378;293.17075;616.6045
hugo;413;311.98044;294.77518;606.7556
hugo;414;317.56308;338.25613;655.8192
hugo;415;312.16934;285.384;597.55334
hugo;416;306.05096;327.95538;634.00635
hugo;417;309.50922;291.26984;600.77905
hugo;418;309.52216;328.64157;638.1637
hugo;419;300.51822;285.88068;586.3989
hugo;420;329.77597;291.51984;621.2958
hugo;421;351.2189;290.6069;641.8258
hugo;422;304.15756;292.99173;597.1493
hugo;423;310.59985;286.87488;597.47473
hugo;424;304.18243;286.53583;590.71826
hugo;425;317.7816;286.3613;604.1429
hugo;426;305.65536;287.38617;593.0415
hugo;427;313.34006;297.11346;610.4535
hugo;428;303.13474;292.33615;595.4709
hugo;429;314.87564;286.61176;601.4874
