name;id;text_gen;toString;total
pois;0;4.370828;0.161936;4.532764
pois;1;0.070943;0.024318;0.095261
pois;2;0.098387;0.009716;0.10810301
pois;3;0.085908;0.005567;0.091475
pois;4;0.082906;0.011807;0.094713
pois;5;0.072307;0.00601;0.078317
pois;6;0.068478;0.006348;0.074826
pois;7;0.069137;0.006471;0.075608
pois;8;0.068338;0.006302;0.07464
pois;9;0.100049;0.005916;0.105964996
pois;10;0.115113;0.010386;0.125499
pois;11;0.061645;0.005557;0.067202
pois;12;0.062659;0.006494;0.069153
pois;13;0.064869;0.005336;0.070205
pois;14;0.067362;0.006543;0.073905006
pois;15;0.105971;0.006794;0.112765
pois;16;0.124263;0.011853;0.136116
pois;17;0.122974;0.010482;0.133456
pois;18;0.061419;0.006613;0.068032
pois;19;0.064107;0.009692;0.073799
pois;20;0.063636;0.006821;0.070457
pois;21;0.055118;0.005283;0.060401
pois;22;0.091006;0.006606;0.097612
pois;23;0.048074;0.006792;0.054866
pois;24;0.062749;0.009976;0.072725
pois;25;0.058214;0.006983;0.065197
pois;26;0.050496;0.006186;0.056682
pois;27;0.049117;0.006395;0.055512
pois;28;0.04993;0.006549;0.056479
pois;29;0.047521;0.006497;0.054018
pois;30;0.064252;0.009723;0.073975
pois;31;0.04958;0.006363;0.055943
pois;32;0.06522;0.009803;0.075022995
pois;33;0.068776;0.011274;0.08005
pois;34;0.050502;0.006822;0.057324
pois;35;0.045089;0.005404;0.050493
pois;36;0.059133;0.007299;0.066432
pois;37;0.068671;0.011656;0.080327004
pois;38;0.075101;0.011868;0.086969
pois;39;0.086341;0.009843;0.096184
pois;40;0.070468;0.011901;0.082369
pois;41;0.068584;0.010932;0.079516
pois;42;7.922358;0.013622;7.93598
pois;43;0.059428;0.00623;0.065657996
pois;44;0.024881;0.006313;0.031194
pois;45;0.032414;0.00641;0.038824
pois;46;0.03273;0.010509;0.043238997
pois;47;0.02638;0.010218;0.036598
pois;48;0.023263;0.005305;0.028568
pois;49;0.02414;0.005385;0.029525
pois;50;0.034098;0.009622;0.04372
pois;51;0.023593;0.004871;0.028463999
pois;52;0.02584;0.005771;0.031611
pois;53;0.033881;0.010298;0.044179
