name;id;text_gen;toString;total
 Longtemps;0;859.3671;912.9088;1772.2759
 Longtemps;1;895.08417;926.51373;1821.5979
 Longtemps;2;820.6845;925.9307;1746.6152
 Longtemps;3;874.7281;788.7439;1663.4719
 Longtemps;4;1149.8507;959.1525;2109.0032
 Longtemps;5;1014.25586;1446.3961;2460.6519
 Longtemps;6;920.0332;1260.9698;2181.003
 Longtemps;7;994.3663;1067.0433;2061.4097
 Longtemps;8;886.47437;1197.9264;2084.401
 Longtemps;9;1018.84216;784.45306;1803.2952
 Longtemps;10;811.5398;1257.6946;2069.2344
 Longtemps;11;1595.2024;1371.1746;2966.377
 Longtemps;12;1245.0654;1015.4838;2260.5493
 Longtemps;13;743.43567;883.28046;1626.7161
 Longtemps;14;887.0642;804.77246;1691.8367
 Longtemps;15;828.3896;931.71313;1760.1028
 Longtemps;16;758.60004;994.792;1753.3921
 Longtemps;17;732.1752;843.55505;1575.7302
 Longtemps;18;740.3731;945.9202;1686.2933
 Longtemps;19;843.74023;906.78925;1750.5295
 Longtemps;20;853.4923;805.8251;1659.3174
 Longtemps;21;814.9684;1267.7693;2082.7378
 Longtemps;22;1018.53015;1393.8373;2412.3674
 Longtemps;23;966.2999;1707.9185;2674.2183
 Longtemps;24;992.5264;1622.8394;2615.3657
 Longtemps;25;1159.2118;1345.2185;2504.4302
 Longtemps;26;1356.3346;1110.1388;2466.4734
 Longtemps;27;1157.8604;1292.2715;2450.1318
 Longtemps;28;923.28845;1318.3823;2241.671
 Longtemps;29;1079.1367;1301.4934;2380.6301
 Longtemps;30;946.1411;1423.6039;2369.745
 Longtemps;31;959.9709;1504.4297;2464.4006
 Longtemps;32;1178.3771;1208.2153;2386.5923
 Longtemps;33;1172.0328;1507.6473;2679.6802
 Longtemps;34;918.6777;1532.485;2451.1626
 Longtemps;35;1143.327;1232.9951;2376.3223
 Longtemps;36;1218.0286;1387.7478;2605.7764
 Longtemps;37;1029.562;1449.0825;2478.6445
 Longtemps;38;1204.3718;1190.0723;2394.444
 Longtemps;39;909.7353;1468.0903;2377.8257
 Longtemps;40;1066.0533;1212.7837;2278.837
 Longtemps;41;966.19867;1554.3997;2520.5984
 Longtemps;42;829.45825;1556.5803;2386.0386
 Longtemps;43;1138.7465;1383.0581;2521.8047
 Longtemps;44;1268.6609;1527.5614;2796.2222
 Longtemps;45;1836.7992;1887.3829;3724.1821
 Longtemps;46;1444.024;1177.1356;2621.1597
 Longtemps;47;1132.5487;1208.5215;2341.0703
 Longtemps;48;1002.6172;1676.0074;2678.6245
 Longtemps;49;1001.656;1039.3904;2041.0464
 Longtemps;50;926.26105;1164.0243;2090.2854
 Longtemps;51;872.9389;1143.4153;2016.3542
 Longtemps;52;1004.85474;1119.7406;2124.5952
 Longtemps;53;1044.5771;1283.711;2328.288
 Longtemps;54;930.4668;1292.0925;2222.5593
 Longtemps;55;858.89954;992.58203;1851.4816
 Longtemps;56;770.93134;957.58984;1728.5212
 Longtemps;57;756.26337;1243.9077;2000.1711
 Longtemps;58;876.57996;1264.0966;2140.6765
 Longtemps;59;1058.6222;1098.5634;2157.1855
 Longtemps;60;989.21924;1131.6462;2120.8655
 Longtemps;61;958.6512;1226.6803;2185.3315
 Longtemps;62;984.9192;1035.5453;2020.4645
 Longtemps;63;1045.4911;987.39844;2032.8895
 Longtemps;64;828.6004;1148.7828;1977.3833
 Longtemps;65;1436.9594;1292.9719;2729.9312
 Longtemps;66;990.17804;1181.2118;2171.39
 Longtemps;67;925.8769;1205.2073;2131.0842
 Longtemps;68;1087.4882;1179.1158;2266.604
 Longtemps;69;904.58514;1307.3021;2211.8872
 Longtemps;70;1127.9976;1303.5377;2431.5352
 Longtemps;71;912.5884;1404.3977;2316.986
 Longtemps;72;974.3523;1187.729;2162.0813
 Longtemps;73;1109.1366;1162.3369;2271.4736
 Longtemps;74;900.48566;1042.5452;1943.0308
 Longtemps;75;974.1619;1115.2665;2089.4285
 Longtemps;76;852.71216;1173.3147;2026.0269
 Longtemps;77;1186.3536;1348.6682;2535.022
 Longtemps;78;976.3087;1206.8398;2183.1484
 Longtemps;79;812.31573;1529.8931;2342.2087
 Longtemps;80;1146.1273;1139.5247;2285.6519
 Longtemps;81;1003.9384;888.8266;1892.765
 Longtemps;82;857.5655;1253.654;2111.2195
 Longtemps;83;1060.5194;964.1093;2024.6287
 Longtemps;84;986.4062;1123.1226;2109.5288
 Longtemps;85;1034.061;966.2799;2000.341
 Longtemps;86;911.04193;1112.2814;2023.3232
 Longtemps;87;871.1818;965.47534;1836.6572
 Longtemps;88;1038.4899;959.2857;1997.7756
 Longtemps;89;1103.3384;1082.6686;2186.0068
 Longtemps;90;956.0499;1187.5203;2143.5703
 Longtemps;91;947.29913;1064.7368;2012.0359
 Longtemps;92;991.76263;1164.5245;2156.287
 Longtemps;93;1021.8144;1345.631;2367.4453
 Longtemps;94;988.24457;1146.761;2135.0056
 Longtemps;95;940.52905;1131.0743;2071.6035
 Longtemps;96;996.9182;1112.0175;2108.9355
 Longtemps;97;957.762;1306.8688;2264.6309
 Longtemps;98;1182.1454;1012.79376;2194.9392
 Longtemps;99;1054.7653;1100.8684;2155.6338
 Longtemps;100;1087.123;1020.2614;2107.3845
 Longtemps;101;1018.4577;920.3411;1938.7988
 Longtemps;102;1003.94476;1240.1487;2244.0935
 Longtemps;103;819.16626;1264.3776;2083.544
 Longtemps;104;1038.6841;1284.8699;2323.554
 Longtemps;105;841.3834;1444.8027;2286.186
 Longtemps;106;1145.655;1220.8528;2366.5078
 Longtemps;107;904.6456;833.5816;1738.2273
 Longtemps;108;1105.8684;1248.8265;2354.6948
 Longtemps;109;871.7856;1047.7034;1919.489
