name;id;text_gen;toString;total
proust;0;764.7073;1018.43225;1783.1395
proust;1;841.47864;1082.1769;1923.6555
proust;2;673.5947;949.3685;1622.9633
proust;3;632.2788;838.2052;1470.484
proust;4;646.9426;803.4525;1450.3951
proust;5;649.5016;769.7304;1419.2319
proust;6;715.35754;872.7255;1588.083
proust;7;636.6922;731.8778;1368.5701
proust;8;635.0854;721.584;1356.6694
proust;9;690.34174;849.9765;1540.3182
proust;10;690.95654;732.2121;1423.1687
proust;11;638.5345;595.7718;1234.3063
proust;12;635.5626;728.90533;1364.468
proust;13;637.7897;724.51;1362.2997
proust;14;651.0887;871.32227;1522.4109
proust;15;717.3853;843.6281;1561.0134
proust;16;638.3755;889.39575;1527.7712
proust;17;852.9357;723.29565;1576.2314
proust;18;642.85065;782.6706;1425.5212
proust;19;677.21906;958.21826;1635.4373
proust;20;718.7438;749.5675;1468.3113
proust;21;748.39795;608.16473;1356.5627
proust;22;630.69037;600.0673;1230.7577
proust;23;641.14453;588.6604;1229.8049
proust;24;659.0102;593.8824;1252.8926
proust;25;643.5744;642.71783;1286.2922
proust;26;641.47485;593.20123;1234.676
proust;27;651.14514;592.5651;1243.7102
proust;28;639.6823;595.81165;1235.4939
proust;29;677.34314;591.6526;1268.9957
proust;30;670.76154;590.3151;1261.0767
proust;31;926.86646;1338.3818;2265.2483
proust;32;1033.8606;1366.26;2400.1206
proust;33;720.7764;705.90607;1426.6825
proust;34;680.10596;622.53046;1302.6365
proust;35;724.6751;608.6678;1333.3429
proust;36;1344.9071;986.8652;2331.7722
proust;37;867.9173;1037.4614;1905.3787
proust;38;644.0952;660.01166;1304.1069
proust;39;1457.8241;1109.5227;2567.3467
proust;40;1127.1042;1004.82294;2131.9272
proust;41;1581.9711;1289.8313;2871.8022
proust;42;900.2051;949.7771;1849.9822
proust;43;954.4571;678.1618;1632.6189
proust;44;778.98956;672.522;1451.5115
proust;45;774.81116;802.62177;1577.4329
proust;46;668.05005;595.2825;1263.3325
proust;47;703.89105;663.9814;1367.8724
proust;48;732.4534;764.1625;1496.616
proust;49;1100.4436;796.4274;1896.8711
proust;50;677.5532;805.96106;1483.5143
proust;51;875.32056;676.5969;1551.9175
proust;52;699.7031;656.52075;1356.2239
proust;53;959.38385;1009.94116;1969.325
proust;54;929.5992;728.52014;1658.1194
proust;55;913.36304;741.6328;1654.9958
proust;56;896.4977;831.2942;1727.7919
proust;57;715.3158;611.0869;1326.4027
proust;58;686.5133;645.57526;1332.0886
proust;59;697.5623;709.3193;1406.8816
proust;60;650.5485;618.62506;1269.1736
proust;61;886.032;775.3408;1661.3728
proust;62;791.0746;678.9302;1470.0048
proust;63;645.2675;596.89075;1242.1582
proust;64;641.13696;602.16736;1243.3043
proust;65;692.5849;619.6282;1312.2131
proust;66;744.7588;759.91473;1504.6736
proust;67;646.3641;599.119;1245.4832
proust;68;643.2632;596.34265;1239.6058
proust;69;657.0213;592.5555;1249.5768
proust;70;638.2287;599.47705;1237.7058
proust;71;647.7642;592.76624;1240.5305
proust;72;645.4616;612.5913;1258.053
proust;73;702.6009;593.9711;1296.572
proust;74;644.0091;594.85974;1238.8689
proust;75;643.64014;591.9653;1235.6055
proust;76;642.7196;596.71405;1239.4336
proust;77;642.6036;599.28186;1241.8855
proust;78;675.5121;627.3457;1302.8578
proust;79;775.9169;595.623;1371.5398
proust;80;660.386;602.7294;1263.1154
proust;81;662.60046;611.9358;1274.5363
proust;82;646.057;599.0502;1245.1072
proust;83;648.1737;600.73444;1248.9082
proust;84;669.62085;610.5464;1280.1672
proust;85;650.1853;606.4662;1256.6515
proust;86;650.45276;592.3872;1242.84
proust;87;647.2283;591.4495;1238.6777
proust;88;657.8057;613.2403;1271.046
proust;89;650.4595;591.80475;1242.2642
proust;90;656.2101;594.43164;1250.6417
proust;91;644.4223;602.1849;1246.6072
proust;92;642.4308;598.2671;1240.6979
proust;93;646.89624;598.2244;1245.1206
proust;94;645.09546;600.0332;1245.1287
proust;95;653.8056;593.72076;1247.5264
proust;96;642.23364;593.15125;1235.3849
proust;97;641.7102;598.5205;1240.2307
proust;98;641.8147;657.45715;1299.2719
proust;99;646.5159;603.51;1250.0259
proust;100;639.3512;604.3014;1243.6526
proust;101;639.644;599.1459;1238.7898
proust;102;640.64;605.3108;1245.9508
proust;103;673.27405;595.42676;1268.7008
proust;104;658.4305;641.9748;1300.4053
proust;105;647.1124;591.225;1238.3374
proust;106;650.1252;611.41895;1261.5442
proust;107;642.3696;597.5432;1239.9128
proust;108;646.59686;594.5969;1241.1938
proust;109;647.89545;598.2027;1246.0981
proust;110;655.3958;595.6879;1251.0837
proust;111;646.3856;593.4227;1239.8083
proust;112;647.8416;610.22235;1258.064
proust;113;646.129;593.49963;1239.6287
proust;114;644.541;592.5353;1237.0763
proust;115;644.65393;610.35925;1255.0132
proust;116;639.31165;600.96295;1240.2747
proust;117;682.0937;621.9337;1304.0273
proust;118;647.3144;603.2441;1250.5585
proust;119;646.3457;593.80316;1240.1489
proust;120;641.4764;625.07416;1266.5505
proust;121;654.46814;598.4739;1252.942
proust;122;641.5881;600.4248;1242.013
proust;123;639.73816;597.5562;1237.2944
proust;124;678.1567;621.5106;1299.6672
proust;125;641.44257;601.15576;1242.5984
proust;126;643.96674;599.2748;1243.2415
proust;127;639.84845;597.59705;1237.4456
proust;128;659.4807;606.83734;1266.3181
proust;129;640.1487;635.1063;1275.255
proust;130;683.74774;597.6499;1281.3977
proust;131;643.4379;599.1442;1242.5822
proust;132;679.38367;596.27515;1275.6588
proust;133;639.1079;596.1626;1235.2705
proust;134;655.775;589.1222;1244.8972
proust;135;646.09;605.202;1251.292
proust;136;644.43823;596.93396;1241.3722
proust;137;641.02594;630.04297;1271.0688
proust;138;648.9639;597.49286;1246.4568
proust;139;638.4283;600.2996;1238.7279
proust;140;648.2297;592.6461;1240.8757
proust;141;648.8668;589.4469;1238.3137
proust;142;649.2575;594.2509;1243.5084
proust;143;655.5758;598.8168;1254.3926
proust;144;643.9613;607.04724;1251.0085
proust;145;635.9037;599.4968;1235.4005
proust;146;650.4917;599.5507;1250.0425
proust;147;646.5681;634.5424;1281.1106
proust;148;657.9707;600.4172;1258.388
proust;149;638.3227;615.57196;1253.8947
proust;150;647.6058;603.2464;1250.8522
proust;151;646.76556;595.46893;1242.2345
proust;152;664.78656;595.60345;1260.39
proust;153;649.2269;598.50024;1247.7272
proust;154;644.57086;593.3774;1237.9482
proust;155;644.7941;596.1047;1240.8988
proust;156;648.6806;602.2469;1250.9275
proust;157;648.81134;637.6261;1286.4375
proust;158;642.18726;599.14105;1241.3284
proust;159;691.68616;635.4787;1327.1648
proust;160;793.66046;707.2205;1500.881
proust;161;807.54956;722.24493;1529.7944
proust;162;968.0548;794.04456;1762.0994
proust;163;699.51196;675.4211;1374.9331
proust;164;803.5354;694.4831;1498.0186
proust;165;711.7047;667.6885;1379.3932
proust;166;1190.7275;1199.0544;2389.782
proust;167;1324.9231;1157.607;2482.5303
proust;168;784.3807;747.3922;1531.773
proust;169;738.76605;964.25433;1703.0204
proust;170;1212.3801;1315.7914;2528.1714
proust;171;1174.4303;1199.1135;2373.544
proust;172;715.4658;708.6817;1424.1475
proust;173;714.4416;654.95245;1369.394
proust;174;728.90906;711.3848;1440.294
proust;175;869.00824;658.74054;1527.7488
proust;176;722.8335;655.62036;1378.4539
proust;177;707.78894;664.9535;1372.7424
proust;178;759.96924;661.8124;1421.7816
proust;179;744.2507;679.46344;1423.7141
proust;180;751.08124;693.24054;1444.3218
proust;181;1026.2716;1055.6191;2081.8906
proust;182;1498.8258;1014.4498;2513.2756
proust;183;732.96716;721.6578;1454.625
proust;184;967.21533;769.6093;1736.8247
proust;185;710.8223;798.4597;1509.282
proust;186;760.0564;655.2189;1415.2753
proust;187;700.976;715.5455;1416.5215
proust;188;696.93164;656.84503;1353.7766
proust;189;701.88525;703.23193;1405.1172
proust;190;703.52686;656.825;1360.3518
proust;191;712.07294;653.7214;1365.7943
proust;192;714.9903;659.10205;1374.0923
proust;193;777.87964;700.5539;1478.4336
proust;194;802.62085;767.32306;1569.9438
proust;195;850.71265;688.6265;1539.3391
proust;196;778.0565;966.0162;1744.0728
proust;197;1971.2341;917.63513;2888.8691
proust;198;1166.5438;1345.2964;2511.8403
proust;199;1538.9054;1161.9827;2700.8882
proust;200;1139.1434;871.55865;2010.7021
proust;201;723.42035;814.6926;1538.113
proust;202;743.863;689.54034;1433.4033
proust;203;717.535;683.74066;1401.2756
proust;204;742.71893;747.78656;1490.5055
proust;205;750.328;716.4379;1466.7659
proust;206;752.8916;722.4765;1475.3682
proust;207;759.16675;687.5438;1446.7106
proust;208;726.7589;683.93616;1410.6951
proust;209;743.60156;692.9522;1436.5537
proust;210;726.71796;688.2277;1414.9457
proust;211;743.4994;672.7145;1416.2139
proust;212;752.1046;819.066;1571.1707
proust;213;799.5348;748.0146;1547.5493
proust;214;847.0608;762.3944;1609.4552
proust;215;841.1238;1277.4266;2118.5503
proust;216;909.8444;712.60004;1622.4445
proust;217;814.522;707.5512;1522.0732
proust;218;816.24695;721.47217;1537.7191
proust;219;822.4017;725.80475;1548.2064
proust;220;743.5223;681.7003;1425.2227
proust;221;737.8795;712.87195;1450.7515
proust;222;818.1928;696.53394;1514.7268
proust;223;736.13745;743.0205;1479.158
proust;224;738.62354;685.3214;1423.945
proust;225;729.7369;704.2416;1433.9785
proust;226;739.6317;688.64825;1428.28
proust;227;763.66406;704.3115;1467.9756
proust;228;742.9624;690.31006;1433.2725
proust;229;748.3376;677.8244;1426.162
proust;230;748.37573;686.3332;1434.709
proust;231;725.45013;680.723;1406.1731
proust;232;733.69464;706.123;1439.8176
proust;233;730.3514;707.34045;1437.6919
proust;234;762.5246;711.691;1474.2156
proust;235;756.89185;688.123;1445.0149
proust;236;995.67365;799.4608;1795.1345
proust;237;746.9375;747.1622;1494.0996
proust;238;782.9661;779.24054;1562.2067
proust;239;864.0658;799.4484;1663.5142
proust;240;795.89465;687.71985;1483.6145
proust;241;942.67163;1137.4624;2080.134
proust;242;742.33716;744.2727;1486.6099
proust;243;782.8431;732.0532;1514.8962
proust;244;736.6489;681.8511;1418.5
proust;245;731.862;692.68976;1424.5518
proust;246;735.72034;722.06744;1457.7878
proust;247;739.1236;672.1537;1411.2773
proust;248;722.64935;677.2794;1399.9287
