name;id;text_gen;toString;total
 Les Rougo;0;97.3112;85.58263;182.89383
 Les Rougo;1;92.5141;108.76936;201.28346
 Les Rougo;2;100.73292;93.50188;194.2348
 Les Rougo;3;91.806854;88.32173;180.12859
 Les Rougo;4;101.09052;88.24633;189.33685
 Les Rougo;5;91.44514;84.00869;175.45383
 Les Rougo;6;88.4161;99.452095;187.8682
 Les Rougo;7;89.97903;85.224304;175.20334
 Les Rougo;8;97.052734;91.1212;188.17393
 Les Rougo;9;104.80227;92.92319;197.72546
 Les Rougo;10;102.47462;92.95962;195.43423
 Les Rougo;11;139.177;186.69371;325.87073
 Les Rougo;12;175.06343;114.017265;289.0807
 Les Rougo;13;97.166275;92.67161;189.83789
 Les Rougo;14;104.61614;95.02424;199.64038
 Les Rougo;15;103.159424;98.49776;201.65718
 Les Rougo;16;100.45787;116.6519;217.10977
 Les Rougo;17;99.32847;97.71641;197.04488
 Les Rougo;18;103.68105;100.14627;203.82733
 Les Rougo;19;100.97303;90.85012;191.82315
 Les Rougo;20;100.30908;88.39737;188.70645
 Les Rougo;21;100.744965;112.54652;213.29147
 Les Rougo;22;100.23701;93.675995;193.913
 Les Rougo;23;97.98395;89.15647;187.14041
 Les Rougo;24;117.20104;122.044785;239.24582
 Les Rougo;25;110.91104;99.18964;210.10068
 Les Rougo;26;95.943306;98.429146;194.37245
 Les Rougo;27;100.76288;143.12692;243.8898
 Les Rougo;28;154.6429;125.93249;280.57538
 Les Rougo;29;123.32487;96.30969;219.63455
 Les Rougo;30;128.23825;145.56102;273.79926
 Les Rougo;31;92.1935;79.659775;171.85327
 Les Rougo;32;101.28117;92.05345;193.33463
 Les Rougo;33;97.81373;117.758514;215.57224
 Les Rougo;34;126.3391;125.81823;252.15733
 Les Rougo;35;94.77108;94.24745;189.01852
 Les Rougo;36;102.38754;90.137505;192.52505
 Les Rougo;37;95.705215;111.42871;207.13393
 Les Rougo;38;109.36279;96.3274;205.69019
 Les Rougo;39;128.01862;94.01748;222.0361
 Les Rougo;40;100.60073;116.92085;217.52158
 Les Rougo;41;92.65132;90.1764;182.82773
 Les Rougo;42;100.56923;91.01088;191.58011
 Les Rougo;43;96.356285;88.18745;184.54373
 Les Rougo;44;125.27261;124.4635;249.73611
 Les Rougo;45;112.078285;97.79007;209.86835
 Les Rougo;46;98.66172;93.57552;192.23724
 Les Rougo;47;96.79688;90.58518;187.38206
 Les Rougo;48;123.08821;91.68742;214.77563
 Les Rougo;49;93.865486;95.03706;188.90256
 Les Rougo;50;231.74222;246.91658;478.6588
 Les Rougo;51;102.22314;89.90788;192.13101
 Les Rougo;52;113.89189;89.2823;203.1742
 Les Rougo;53;113.866325;93.86181;207.72813
 Les Rougo;54;130.83534;109.9061;240.74144
 Les Rougo;55;141.7801;117.43566;259.21576
 Les Rougo;56;253.881;115.54368;369.42468
 Les Rougo;57;140.08342;125.31847;265.4019
 Les Rougo;58;99.67898;145.81577;245.49475
 Les Rougo;59;102.848595;95.99489;198.84348
 Les Rougo;60;169.277;99.39394;268.67093
 Les Rougo;61;119.324814;98.53254;217.85736
 Les Rougo;62;105.47925;110.70606;216.1853
 Les Rougo;63;125.01127;92.56758;217.57886
 Les Rougo;64;114.2982;101.858955;216.15717
 Les Rougo;65;96.83451;115.98885;212.82336
 Les Rougo;66;106.47134;106.475334;212.94667
 Les Rougo;67;96.78124;92.59122;189.37247
 Les Rougo;68;121.91792;100.46298;222.3809
 Les Rougo;69;94.65218;88.87116;183.52335
 Les Rougo;70;128.60384;115.17543;243.77927
 Les Rougo;71;140.39134;95.02033;235.41168
 Les Rougo;72;118.20225;111.89119;230.09344
