name;id;text_gen;toString;total
zola;0;100.59458;91.99771;192.59229
zola;1;111.96177;141.29193;253.2537
zola;2;93.74967;85.10491;178.85458
zola;3;87.55865;83.50956;171.0682
zola;4;89.160774;79.70777;168.86855
zola;5;97.545395;112.2557;209.80109
zola;6;86.26353;80.38115;166.64468
zola;7;87.66689;82.425934;170.09283
zola;8;89.09048;80.73854;169.82901
zola;9;86.543175;80.024;166.56717
zola;10;85.41417;79.5931;165.00726
zola;11;169.38106;136.0163;305.39734
zola;12;86.38445;79.928734;166.31319
zola;13;101.3186;80.560455;181.87906
zola;14;87.09088;79.84812;166.939
zola;15;86.51727;99.33975;185.85703
zola;16;86.40026;79.381294;165.78156
zola;17;101.63146;108.31388;209.94534
zola;18;93.39602;80.80681;174.20282
zola;19;100.513954;113.24809;213.76205
zola;20;88.91967;83.10491;172.02458
zola;21;86.7321;88.396996;175.12909
zola;22;88.839096;80.01024;168.84933
zola;23;85.789406;78.667;164.4564
zola;24;86.09469;79.03931;165.134
zola;25;86.47814;79.67867;166.15681
zola;26;87.48878;79.91369;167.40247
zola;27;86.47668;80.91046;167.38715
zola;28;86.19789;79.43315;165.63104
zola;29;86.9083;81.968285;168.87659
zola;30;87.61452;79.39607;167.01059
zola;31;86.92156;79.75662;166.67819
zola;32;130.62567;123.05571;253.68138
zola;33;106.33354;96.32266;202.6562
zola;34;100.65883;133.26259;233.92142
zola;35;90.361626;85.01459;175.37622
zola;36;103.94229;84.82718;188.76947
zola;37;175.15324;141.31512;316.46838
zola;38;94.26317;141.08363;235.3468
zola;39;254.2773;269.00653;523.2838
zola;40;146.45078;159.57713;306.0279
zola;41;112.51477;138.66844;251.18321
zola;42;201.47955;163.88701;365.36658
zola;43;103.319855;108.70255;212.0224
zola;44;97.8225;94.12842;191.95093
zola;45;89.60777;81.588;171.19577
zola;46;88.41752;99.677;188.09451
zola;47;94.76009;83.28906;178.04916
zola;48;111.97354;101.20456;213.1781
zola;49;90.69015;89.95087;180.64102
zola;50;88.93942;91.66579;180.60521
zola;51;126.53952;176.16515;302.70465
zola;52;113.87147;140.24042;254.11188
zola;53;113.27777;113.21541;226.49318
zola;54;109.48594;102.41711;211.90305
zola;55;87.260994;80.451164;167.71216
zola;56;191.2962;138.94139;330.2376
zola;57;113.09729;175.46515;288.56244
zola;58;91.30372;101.92743;193.23114
zola;59;97.5736;87.10506;184.67865
